episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-7.652424228817493,6.153041038992058,-6.153041038992058,1.499383189825435,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
1,-6.069881795968968,6.069881795968968,-6.069881795968968,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
