episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,500.0,0,nan,99.95887932169568,-0.0,0,0.0,0.0,0.0
0,1,2,500.0,0,nan,100.2,-0.8888888888888888,0,0.0,0.0,0.0
0,2,3,500.0,0,nan,100.34,-1.7777777777777777,0,0.0,0.0,0.0
0,3,4,500.0,0,nan,100.41,-2.6666666666666665,0,0.0,0.0,0.0
0,4,5,500.0,0,nan,100.41,-3.5555555555555554,0,0.0,0.0,0.0
0,5,6,0.0,1,100.41031635142427,100.44,-14.841824287863403,0,500.0,0.0,14.841824287863403
1,0,1,500.0,0,nan,99.79583399371525,-0.0,0,0.0,0.0,0.0
1,1,2,0.0,1,99.92615779303271,99.96000000000001,-16.921103483646505,0,500.0,0.0,16.921103483646505
2,0,1,500.0,0,nan,99.75154818594366,-0.0,0,0.0,0.0,0.0
2,1,2,500.0,0,nan,99.67,-0.8888888888888888,0,0.0,0.0,0.0
2,2,3,0.0,1,99.53875739103057,99.58,-20.62130448471322,0,500.0,0.0,20.62130448471322
3,0,1,500.0,0,nan,99.88272921140229,-0.0,0,0.0,0.0,0.0
3,1,2,500.0,0,nan,100.08,-0.8888888888888888,0,0.0,0.0,0.0
3,2,3,500.0,0,nan,100.16,-1.7777777777777777,0,0.0,0.0,0.0
3,3,4,0.0,1,100.0925365910788,100.12,-13.731704460603567,0,500.0,0.0,13.731704460603567
4,0,1,500.0,0,nan,100.1837081617879,-0.0,0,0.0,0.0,0.0
4,1,2,500.0,0,nan,100.09,-0.8888888888888888,0,0.0,0.0,0.0
4,2,3,500.0,0,nan,100.05,-1.7777777777777777,0,0.0,0.0,0.0
4,3,4,500.0,0,nan,99.94,-2.6666666666666665,0,0.0,0.0,0.0
4,4,5,0.0,1,99.8203179684585,99.85000000000001,-14.841015770755916,0,500.0,0.0,14.841015770755916
5,0,1,0.0,1,100.08152895995663,100.11123826319329,-14.854651618328774,0,500.0,0.0,14.854651618328774
6,0,1,0.0,1,100.11294106668366,100.14370959629633,-15.384264806336034,0,500.0,0.0,15.384264806336034
7,0,1,500.0,0,nan,99.76397645005784,-0.0,0,0.0,0.0,0.0
7,1,2,500.0,0,nan,99.68,-0.8888888888888888,0,0.0,0.0,0.0
7,2,3,0.0,1,99.5213002183152,99.56,-19.34989084239902,0,500.0,0.0,19.34989084239902
8,0,1,0.0,1,99.7543209868738,99.78536904657113,-15.524029848670295,0,500.0,0.0,15.524029848670295
9,0,1,0.0,1,100.12422286196856,100.15590311848356,-15.840128257501362,0,500.0,0.0,15.840128257501362
10,0,1,500.0,0,nan,99.91900427271197,-0.0,0,0.0,0.0,0.0
10,1,2,0.0,1,99.92148113236618,99.95,-14.259433816910416,0,500.0,0.0,14.259433816910416
11,0,1,0.0,1,100.06716287245615,100.1010765486892,-16.956838116527706,0,500.0,0.0,16.956838116527706
12,0,1,0.0,1,100.03314356447571,100.06237862209694,-14.617528810617841,0,500.0,0.0,14.617528810617841
13,0,1,500.0,0,nan,100.20953021794273,-0.0,0,0.0,0.0,0.0
13,1,2,0.0,1,100.21826240141449,100.25,-15.868799292753977,0,500.0,0.0,15.868799292753977
14,0,1,0.0,1,99.69484231611959,99.73205031440332,-18.603999141866723,0,500.0,0.0,18.603999141866723
15,0,1,0.0,1,99.7730939796567,99.80465964909155,-15.782834717427363,0,500.0,0.0,15.782834717427363
16,0,1,500.0,0,nan,99.99130150182002,-0.0,0,0.0,0.0,0.0
16,1,2,0.0,1,99.91783952989634,99.95,-16.080235051830982,0,500.0,0.0,16.080235051830982
17,0,1,500.0,0,nan,99.82555147596129,-0.0,0,0.0,0.0,0.0
