episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,env_reward,is_twap,executed_qty,forced_qty,step_is,hold_penalty,leftover_penalty
0,0,1,375.0,1,99.90601262134683,99.95887932169568,-9.607103923256329,-6.608337543605458,0,125.0,0.0,6.608337543605458,2.99876637965087,0.0
0,1,2,375.0,0,nan,95.32000000000001,-2.99876637965087,-0.0,0,0.0,0.0,0.0,2.99876637965087,0.0
0,2,3,0.0,4,95.3405628523354,95.46000000000001,-44.78893037422971,-44.78893037422971,0,375.0,0.0,44.78893037422971,0.0,0.0
1,0,1,0.0,4,99.6435482195284,99.79583399371525,-76.14288709342532,-76.14288709342532,0,500.0,0.0,76.14288709342532,0.0,0.0
2,0,1,0.0,4,99.55084159272029,99.75154818594366,-100.35329661168646,-100.35329661168646,0,500.0,0.0,100.35329661168646,0.0,0.0
3,0,1,500.0,0,nan,99.88272921140229,-3.995309168456092,-0.0,0,0.0,0.0,0.0,3.995309168456092,0.0
3,1,2,500.0,0,nan,100.08,-3.995309168456092,-0.0,0,0.0,0.0,0.0,3.995309168456092,0.0
3,2,3,0.0,4,100.0388117137008,100.16,-60.594143149600654,-60.594143149600654,0,500.0,0.0,60.594143149600654,0.0,0.0
4,0,1,0.0,4,99.97388635793256,100.1837081617879,-104.91090192767416,-104.91090192767416,0,500.0,0.0,104.91090192767416,0.0,0.0
5,0,1,375.0,1,100.0650449444569,100.11123826319329,-8.777501989943978,-5.7741648420481795,0,125.0,0.0,5.7741648420481795,3.0033371478957984,0.0
5,1,2,0.0,4,95.11900693906196,95.23,-41.622397851766024,-41.622397851766024,0,375.0,0.0,41.622397851766024,0.0,0.0
6,0,1,0.0,4,100.0296460508184,100.14370959629633,-57.031772738966424,-57.031772738966424,0,500.0,0.0,57.031772738966424,0.0,0.0
7,0,1,500.0,0,nan,99.76397645005784,-3.990559058002314,-0.0,0,0.0,0.0,0.0,3.990559058002314,0.0
7,1,2,500.0,0,nan,99.68,-3.990559058002314,-0.0,0,0.0,0.0,0.0,3.990559058002314,0.0
7,2,3,375.0,1,99.45558629849,99.56,-16.044631982251452,-13.051712688749717,0,125.0,0.0,13.051712688749717,2.992919293501735,0.0
7,3,4,281.0,1,94.47152438531246,94.59,-13.37940197122607,-11.136707780628768,0,94.0,0.0,11.136707780628768,2.242694190597301,0.0
7,4,5,0.0,4,90.73572800701436,90.95,-60.21043002896597,-60.21043002896597,0,281.0,0.0,60.21043002896597,0.0,0.0
8,0,1,375.0,1,99.73530100495155,99.78536904657113,-9.252066273844886,-6.2585052024477505,0,125.0,0.0,6.2585052024477505,2.993561071397134,0.0
8,1,2,0.0,4,95.0055907396644,95.12,-42.903472625852146,-42.903472625852146,0,375.0,0.0,42.903472625852146,0.0,0.0
9,0,1,250.0,2,100.09129154538138,100.15590311848356,-18.156011337915594,-16.15289327554592,0,250.0,0.0,16.15289327554592,2.0031180623696714,0.0
9,1,2,250.0,0,nan,90.72,-2.0031180623696714,-0.0,0,0.0,0.0,0.0,2.0031180623696714,0.0
9,2,3,0.0,4,90.69019150452921,90.82000000000001,-32.452123867699356,-32.452123867699356,0,250.0,0.0,32.452123867699356,0.0,0.0
10,0,1,0.0,4,99.78063496421115,99.91900427271197,-69.18465425041376,-69.18465425041376,0,500.0,0.0,69.18465425041376,0.0,0.0
11,0,1,250.0,2,100.03204919024688,100.1010765486892,-19.25886114155545,-17.256839610581665,0,250.0,0.0,17.256839610581665,2.002021530973784,0.0
11,1,2,62.0,3,90.58937731481554,90.71000000000001,-23.173566154362202,-22.677064814680705,0,188.0,0.0,22.677064814680705,0.49650133968149845,0.0
11,2,3,46.0,1,84.14456091302434,84.28,-2.5353973533098264,-2.1670253916106503,0,16.0,0.0,2.1670253916106503,0.3683719616991763,0.0
11,3,4,34.0,1,83.68402013230555,83.82000000000001,-1.9040333405459455,-1.631758412333511,0,12.0,0.0,1.631758412333511,0.27227492821243465,0.0
11,4,5,17.0,2,83.33979710098893,83.48,-2.5195867472944444,-2.3834492831882272,0,17.0,0.0,2.3834492831882272,0.13613746410621733,0.0
11,5,6,9.0,2,82.94447542152305,83.09,-1.2362694029306696,-1.1641966278156133,0,8.0,0.0,1.1641966278156133,0.07207277511505622,0.0
11,6,7,5.0,2,82.78200620194691,82.93,-0.6320156228318494,-0.5919751922123737,0,4.0,0.0,0.5919751922123737,0.04004043061947569,0.0
11,7,8,5.0,0,nan,83.05,-0.04004043061947569,-0.0,0,0.0,0.0,0.0,0.04004043061947569,0.0
11,8,9,1.0,3,83.07380590611051,83.22,-0.59278446168186,-0.5847763755579649,0,4.0,0.0,0.5847763755579649,0.008008086123895137,0.0
11,9,10,0.0,2,82.91985803424603,83.07000000000001,-0.1501419657539742,-0.1501419657539742,0,1.0,0.0,0.1501419657539742,0.0,0.0
12,0,1,125.0,3,99.97836513592243,100.06237862209694,-32.50568110166326,-31.505057315442286,0,375.0,0.0,31.505057315442286,1.0006237862209695,0.0
12,1,2,125.0,0,nan,86.21000000000001,-1.0006237862209695,-0.0,0,0.0,0.0,0.0,1.0006237862209695,0.0
12,2,3,0.0,4,86.23659580926532,86.37,-16.675523841835016,-16.675523841835016,0,125.0,0.0,16.675523841835016,0.0,0.0
13,0,1,250.0,2,100.14477255597261,100.20953021794273,-18.1936060968888,-16.189415492529946,0,250.0,0.0,16.189415492529946,2.0041906043588544,0.0
13,1,2,125.0,2,90.60004424688444,90.71000000000001,-14.746564441625807,-13.74446913944638,0,125.0,0.0,13.74446913944638,1.0020953021794272,0.0
