episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,857.0,2,1006.3251076719665,1006.6849975585938,-51.46425378769379,0,143.0,0.0,51.46425378769379
0,1,2,857.0,0,1006.6749877929688,1006.6749877929688,-0.7141666666666667,0,0.0,0.0,0.7141666666666667
0,2,3,367.0,8,1005.3958251562957,1006.6649780273438,-633.1228104593777,0,490.0,0.0,633.1228104593777
0,3,4,131.0,9,1005.9117409575348,1006.6649780273438,-183.40605784991473,0,236.0,0.0,183.40605784991473
0,4,5,56.0,8,1006.2575303774872,1006.6649780273438,-32.496705249655804,0,75.0,0.0,32.496705249655804
0,5,6,52.0,1,1006.4273457459717,1006.6749877929688,-1.2639405838215074,0,4.0,0.0,1.2639405838215074
0,6,7,48.0,1,1006.4263390709839,1006.6749877929688,-1.2946339504394564,0,4.0,0.0,1.2946339504394564
0,7,8,21.0,8,1006.3574418765564,1006.6649780273438,-9.124003415007477,0,27.0,0.0,9.124003415007477
0,8,9,1.0,13,1006.3682635250702,1006.6649780273438,-6.474680670470334,0,20.0,0.0,6.474680670470334
0,9,10,1.0,3,1006.6649780273438,1006.6649780273438,-0.0075,0,0.0,0.0,0.0075
0,10,11,0.0,9,1006.4110467866363,1006.6649780273438,-0.28228410529073544,0,1.0,0.0,0.28228410529073544
1,0,1,357.0,9,1004.2181421748352,1005.8350219726562,-1039.6537099989482,0,643.0,0.0,1039.6537099989482
1,1,2,357.0,0,1005.8350219726562,1005.8350219726562,-0.2975,0,0.0,0.0,0.2975
1,2,3,357.0,0,1005.8350219726562,1005.8350219726562,-0.595,0,0.0,0.0,0.595
1,3,4,306.0,2,1005.5450900275727,1005.8350219726562,-15.679029199263327,0,51.0,0.0,15.679029199263327
1,4,5,262.0,2,1005.549867743927,1005.8350219726562,-13.566786064084699,0,44.0,0.0,13.566786064084699
1,5,6,94.0,9,1005.2269947018738,1005.8350219726562,-103.24024815812433,0,168.0,0.0,103.24024815812433
1,6,7,7.0,13,1005.3884312229004,1005.8350219726562,-39.323395228758244,0,87.0,0.0,39.323395228758244
1,7,8,7.0,1,1005.8350219726562,1005.8350219726562,-0.04083333333333333,0,0.0,0.0,0.04083333333333333
1,8,9,2.0,10,1005.5727504906769,1005.8350219726562,-1.3580240765635805,0,5.0,0.0,1.3580240765635805
1,9,10,2.0,1,1005.8350219726562,1005.8350219726562,-0.015,0,0.0,0.0,0.015
1,10,11,2.0,1,1005.8350219726562,1005.8350219726562,-0.016666666666666663,0,0.0,0.0,0.016666666666666663
1,11,12,1.0,9,1005.5815515471191,1005.8350219726562,-0.27180375887043584,0,1.0,0.0,0.27180375887043584
1,12,13,0.0,10,1005.5813000883637,1005.8350219726562,-0.2637218842925313,0,1.0,0.0,0.2637218842925313
2,0,1,143.0,12,1001.4747334374999,1003.625,-1842.7784440625553,0,857.0,0.0,1842.7784440625553
2,1,2,51.0,9,1003.1791395937499,1003.625,-41.138324041672426,0,92.0,0.0,41.138324041672426
2,2,3,33.0,5,1003.3417268437499,1003.625,-5.183916812501102,0,18.0,0.0,5.183916812501102
2,3,4,5.0,12,1003.3121199062499,1003.625,-8.843142625002674,0,28.0,0.0,8.843142625002674
