episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-128.97333333333566,101.93999999999903,1,60,0.0,last_minute,0
1,-143.6433333333339,-18.390000000010787,1,60,0.0,last_minute,0
2,-97.42333333333275,45.3899999999976,1,60,0.0,last_minute,0
3,-90.06333333333217,38.029999999992015,1,60,0.0,last_minute,0
4,-72.64333333333391,0.6099999999804595,1,60,0.0,last_minute,0
5,-99.23333333333042,52.199999999999136,1,60,0.0,last_minute,0
6,-140.34333333334556,98.3099999999979,1,60,0.0,last_minute,0
7,-72.93333333332751,10.89999999999236,1,60,0.0,last_minute,0
8,-107.3833333333537,0.3500000000116188,1,60,0.0,last_minute,0
9,-92.91333333333799,35.88000000000591,1,60,0.0,last_minute,0
10,-143.82333333334148,36.789999999996326,1,60,0.0,last_minute,0
11,-113.93333333332751,111.89999999999145,1,60,0.0,last_minute,0
12,-139.7233333333502,142.69000000001597,1,60,0.0,last_minute,0
13,-110.18333333332751,103.1499999999852,1,60,0.0,last_minute,0
14,-78.91333333332344,-63.120000000012055,1,60,0.0,last_minute,0
15,-106.23333333331587,39.199999999993906,1,60,0.0,last_minute,0
16,-130.82333333332693,153.78999999998655,1,60,0.0,last_minute,0
17,-84.7533333333345,62.71999999999878,1,60,0.0,last_minute,0
18,-96.77333333335312,29.740000000003874,1,60,0.0,last_minute,0
19,-86.59333333334556,49.560000000013815,1,60,0.0,last_minute,0
20,-108.5533333333374,-33.4800000000115,1,60,0.0,last_minute,0
21,-103.15333333332867,71.11999999999341,1,60,0.0,last_minute,0
22,-85.38333333333915,48.34999999999923,1,60,0.0,last_minute,0
23,-118.62333333331529,-8.410000000012019,1,60,0.0,last_minute,0
24,-67.57333333334148,10.540000000005989,1,60,0.0,last_minute,0
25,-118.81333333333217,11.779999999987467,1,60,0.0,last_minute,0
26,-89.19333333332227,57.15999999998189,1,60,0.0,last_minute,0
27,-109.87333333332984,72.83999999998514,1,60,0.0,last_minute,0
28,-94.51333333332926,12.479999999996494,1,60,0.0,last_minute,0
