episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-101.94000000000347,101.93999999999903,1,60,0.0,last_minute,0
1,18.390000000003397,-18.390000000010787,1,60,0.0,last_minute,0
2,-45.38999999999487,45.3899999999976,1,60,0.0,last_minute,0
3,-38.02999999999429,38.029999999992015,1,60,0.0,last_minute,0
4,-0.6099999999858028,0.6099999999804595,1,60,0.0,last_minute,0
5,-52.199999999987995,52.199999999999136,1,60,0.0,last_minute,0
6,-98.30999999999858,98.3099999999979,1,60,0.0,last_minute,0
7,-10.899999999998727,10.89999999999236,1,60,0.0,last_minute,0
8,-0.350000000009004,0.3500000000116188,1,60,0.0,last_minute,0
9,-35.88000000000466,35.88000000000591,1,60,0.0,last_minute,0
10,-36.78999999999678,36.789999999996326,1,60,0.0,last_minute,0
11,-111.89999999998679,111.89999999999145,1,60,0.0,last_minute,0
12,-142.69000000001915,142.69000000001597,1,60,0.0,last_minute,0
13,-103.14999999999134,103.1499999999852,1,60,0.0,last_minute,0
14,63.12000000001785,-63.120000000012055,1,60,0.0,last_minute,0
15,-39.19999999999163,39.199999999993906,1,60,0.0,last_minute,0
16,-153.7899999999919,153.78999999998655,1,60,0.0,last_minute,0
17,-62.71999999999775,62.71999999999878,1,60,0.0,last_minute,0
18,-29.740000000000464,29.740000000003874,1,60,0.0,last_minute,0
19,-49.560000000008245,49.560000000013815,1,60,0.0,last_minute,0
20,33.48000000000388,-33.4800000000115,1,60,0.0,last_minute,0
21,-71.12000000000103,71.11999999999341,1,60,0.0,last_minute,0
22,-48.35000000000184,48.34999999999923,1,60,0.0,last_minute,0
23,8.410000000011223,-8.410000000012019,1,60,0.0,last_minute,0
24,-10.540000000008149,10.540000000005989,1,60,0.0,last_minute,0
25,-11.779999999987467,11.779999999987467,1,60,0.0,last_minute,0
26,-57.159999999980414,57.15999999998189,1,60,0.0,last_minute,0
27,-72.83999999999253,72.83999999998514,1,60,0.0,last_minute,0
28,-12.479999999990241,12.479999999996494,1,60,0.0,last_minute,0
29,-31.82999999999265,31.829999999985148,1,60,0.0,last_minute,0
30,-110.81000000000938,110.81000000001495,1,60,0.0,last_minute,0
31,-17.93999999999778,17.939999999995848,1,60,0.0,last_minute,0
32,-78.17999999998415,78.17999999998904,1,60,0.0,last_minute,0
33,-141.08000000000493,141.08000000000231,1,60,0.0,last_minute,0
34,-66.4100000000052,66.41000000000474,1,60,0.0,last_minute,0
35,28.18999999999005,-28.189999999995052,1,60,0.0,last_minute,0
36,-76.0699999999839,76.0699999999872,1,60,0.0,last_minute,0
37,-70.00000000000114,69.99999999999318,1,60,0.0,last_minute,0
38,54.72000000001822,-54.72000000001742,1,60,0.0,last_minute,0
39,-34.91000000000804,34.909999999996444,1,60,0.0,last_minute,0
40,-65.04000000000906,65.04000000001042,1,60,0.0,last_minute,0
41,59.0000000000025,-58.9999999999975,1,60,0.0,last_minute,0
42,20.970000000007985,-20.970000000005484,1,60,0.0,last_minute,0
43,-10.95999999998105,10.959999999982983,1,60,0.0,last_minute,0
44,-8.760000000013633,8.760000000009427,1,60,0.0,last_minute,0
45,21.469999999997754,-21.47000000000787,1,60,0.0,last_minute,0
46,-101.18999999999983,101.19000000000256,1,60,0.0,last_minute,0
47,-80.80999999998369,80.8099999999854,1,60,0.0,last_minute,0
48,-40.869999999994775,40.869999999998186,1,60,0.0,last_minute,0
49,-79.0000000000066,78.99999999999352,1,60,0.0,last_minute,0
50,8.050000000014279,-8.050000000011437,1,60,0.0,last_minute,0
51,-51.65999999999326,51.65999999998405,1,60,0.0,last_minute,0
52,-86.36000000000263,86.3599999999991,1,60,0.0,last_minute,0
53,-168.6999999999814,168.69999999998697,1,60,0.0,last_minute,0
54,-58.15000000000077,58.1499999999977,1,60,0.0,last_minute,0
55,-19.590000000000828,19.58999999999378,1,60,0.0,last_minute,0
56,-47.46000000001243,47.460000000000946,1,60,0.0,last_minute,0
57,62.25000000000341,-62.25000000000591,1,60,0.0,last_minute,0
58,8.750000000015689,-8.750000000020464,1,60,0.0,last_minute,0
59,-129.15999999998724,129.15999999998462,1,60,0.0,last_minute,0
60,46.96000000000072,-46.96000000001277,1,60,0.0,last_minute,0
61,-32.11999999999534,32.11999999999193,1,60,0.0,last_minute,0
62,34.77000000002033,-34.77000000002306,1,60,0.0,last_minute,0
63,-115.00999999999226,115.00999999998385,1,60,0.0,last_minute,0
64,-110.49999999999261,110.50000000000182,1,60,0.0,last_minute,0
65,-41.109999999995466,41.11000000000331,1,60,0.0,last_minute,0
66,-19.240000000009786,19.240000000010582,1,60,0.0,last_minute,0
67,-117.58999999998912,117.58999999999276,1,60,0.0,last_minute,0
68,-43.64999999997963,43.64999999998531,1,60,0.0,last_minute,0
69,-118.09000000000935,118.09000000000935,1,60,0.0,last_minute,0
70,-62.070000000003574,62.07000000000562,1,60,0.0,last_minute,0
71,0.630000000010341,-0.6300000000010186,1,60,0.0,last_minute,0
72,-67.68999999998891,67.6899999999847,1,60,0.0,last_minute,0
73,6.850000000007526,-6.850000000000023,1,60,0.0,last_minute,0
74,-133.58999999999855,133.5899999999981,1,60,0.0,last_minute,0
75,44.19999999999504,-44.20000000000357,1,60,0.0,last_minute,0
76,-66.38999999999544,66.3899999999984,1,60,0.0,last_minute,0
77,-114.89000000000203,114.88999999998839,1,60,0.0,last_minute,0
78,36.56999999998584,-36.56999999999755,1,60,0.0,last_minute,0
79,-130.0200000000018,130.0200000000018,1,60,0.0,last_minute,0
80,5.790000000009286,-5.790000000018836,1,60,0.0,last_minute,0
81,-159.98999999999955,159.99000000000763,1,60,0.0,last_minute,0
82,29.02999999999679,-29.030000000005884,1,60,0.0,last_minute,0
83,-50.44999999999254,50.449999999997885,1,60,0.0,last_minute,0
84,-88.60000000000355,88.59999999999957,1,60,0.0,last_minute,0
85,-60.97000000000264,60.969999999997526,1,60,0.0,last_minute,0
86,-165.35000000000264,165.35000000000366,1,60,0.0,last_minute,0
87,-19.039999999987913,19.039999999989732,1,60,0.0,last_minute,0
88,67.51000000001329,-67.51000000001284,1,60,0.0,last_minute,0
89,-45.8499999999907,45.84999999998729,1,60,0.0,last_minute,0
